Aidat,Banyo Sayısı,Bina Yaşı,Brüt / Net M2,Bulunduğu Kat,Depozito,Eşya Durumu,Fiyat,Isınma Tipi,Kat Sayısı,Konut Şekli,Kullanım Durumu,Oda + Salon Sayısı,Son Güncelleme Tarihi,Yakıt Tipi,Yapı Tipi,Yapının Durumu,İlan Durumu,İlan no,Cephe ,Site İçerisinde,Krediye Uygunluk,Takas,Tapu Durumu,Kira Getirisi
20 TL,1,40 Yaşında,115 m2,1. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9734,"Güney, ",,,,,
189 TL,1,5 Yaşında,55 m2,1. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Merkezi (Pay Ölçer),16 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,47803-3432,"Kuzey, ",FIRAT LİFE,,,,
565 TL,2,Sıfır Bina,180 m2,2. Kat,"5,000 TL",Eşyalı Değil,"
3,550 TL
",Merkezi (Pay Ölçer),30 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,96629-548,"Güney, ",BAŞKENT EMLAK KONUTLARI,,,,
300 TL,1,1 Yaşında,65 m2,7. Kat,"1,850 TL",Eşyalı Değil,"
1,850 TL
",Merkezi (Pay Ölçer),39 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,3620-8611,Batı,MARİNA ANKARA,,,,
50 TL,1,29 Yaşında,150 m2,3. Kat,,Eşyalı Değil,"
1,950 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9848,,,,,,
,1,19 Yaşında,120 m2,1. Kat,"2,000 TL",Eşyalı,"
2,100 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,14777-4161,Güney,,,,,
650 TL,4,15 Yaşında,430 m2,,"5,350 TL",Eşyalı Değil,"
5,350 TL
",Kombi,3 Katlı,Villa,Boş,5 + 2,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,96373-674,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
25 TL,1,35 Yaşında,100 m2,2. Kat,"2,500 TL",Eşyalı,"
1,850 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,,,Kiralık,15279-486,"Kuzey, ",,,,,
695 TL,2,5 Yaşında,193 m2,2. Kat,"4,000 TL",Eşyalı Değil,"
3,900 TL
",Merkezi (Pay Ölçer),13 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,96629-542,"Güney, ",SİNPAŞ ALTINORAN,,,,
750 TL,2,Sıfır Bina,100 m2,21 ve üzeri,"8,000 TL",Eşyalı,"
10,000 TL
",Merkezi (Pay Ölçer),33 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1248-1834,Doğu,MESA 66,,,,
200 TL,1,5 Yaşında,170 m2,12. Kat,"5,000 TL",Eşyalı Değil,"
2,350 TL
",Merkezi (Pay Ölçer),13 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,95047-651,"Güney, ",ÖYKÜM SİTESİ,,,,
25 TL,1,25 Yaşında,95 m2,Giriş Katı,850 TL,Eşyalı Değil,"
750 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6266-6553,Batı,,,,,
40 TL,1,35 Yaşında,80 m2,Bahçe Katı,"1,150 TL",Eşyalı Değil,"
1,150 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,9595-2214,"Güney, ",,,,,
40 TL,1,21 Yaşında,120 m2,2. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17811-7253,"Güney, ",,,,,
,1,22 Yaşında,130 m2,4. Kat,"1,300 TL",Eşyalı Değil,"
1,300 TL
",Kombi,6 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,89814-2786,"Güney, ",,,,,
240 TL,2,18 Yaşında,180 m2,6. Kat,,Eşyalı Değil,"
4,500 TL
",Kombi,8 Katlı,Daire,,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,73240-1694,"Güney, ",,Uygun,Hayır,,
200 TL,2,Sıfır Bina,115 m2,4. Kat,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Merkezi (Pay Ölçer),7 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,49844-2219,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
,1,15 Yaşında,120 m2,2. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,104817-327,Güney,,,,,
200 TL,2,8 Yaşında,140 m2,2. Kat,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Kombi,11 Katlı,Daire,Belirtilmemiş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,120111-51,"Kuzey, ",paşa evleri,,,,
230 TL,1,22 Yaşında,125 m2,1. Kat,"1,600 TL",Eşyalı Değil,"
1,500 TL
",Kombi,2 Katlı,Daire,,3 + 1,Bugün,Doğalgaz,,İkinci El,Kiralık,10557-2708,"Kuzey, ",,,,,
360 TL,1,45 Yaşında,120 m2,Bahçe Katı,"2,500 TL",Eşyalı Değil,"
2,100 TL
",Merkezi,4 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6632-1721,"Kuzey, ",,,,,
30 TL,1,27 Yaşında,95 m2,Giriş Katı,850 TL,Eşyalı Değil,"
875 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9824,"Güney, ",,,,,
300 TL,2,15 Yaşında,185 m2,Yüksek Giriş,"3,200 TL",Eşyalı Değil,"
3,200 TL
",Kombi,2 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4367-5143,"Kuzey, ",,,,,
,1,7 Yaşında,60 m2,2. Kat,"1,650 TL",Eşyalı,"
1,650 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,Dün,Doğalgaz,,,Kiralık,15279-487,"Kuzey, ",,,,,
30 TL,1,5 Yaşında,135 m2,4. Kat,"2,500 TL",Eşyalı,"
2,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1955-6318,"Güney, ",,,,,
,1,35 Yaşında,120 m2,3. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,3584-25807,"Güney, ",,,,,
75 TL,2,2 Yaşında,275 m2,3. Kat,"1,550 TL",Eşyalı Değil,"
1,550 TL
",Kombi,3 Katlı,Daire,Boş,6 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,95382-5501,Güney,,,,,
30 TL,1,40 Yaşında,125 m2,2. Kat,,Eşyalı Değil,"
1,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,,,,Kiralık,5934-2972,,,,,,
797 TL,2,1 Yaşında,230 m2,11. Kat,"6,525 TL",Eşyalı Değil,"
4,350 TL
",Merkezi (Pay Ölçer),21 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,8316-1624,,BULVAR LOFT,,,,
150 TL,2,25 Yaşında,250 m2,,"3,000 TL",Eşyalı Değil,"
3,000 TL
",Kombi,2 Katlı,Villa,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,37957-14912,"Kuzey, ",Küçük Evlerimiz villa,,,,
"1,050 TL",3,3 Yaşında,430 m2,17. Kat,,Eşyalı Değil,"
4,250 TL
",Merkezi (Pay Ölçer),17 Katlı,Daire,Boş,5 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,2603-3581,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
25 TL,1,25 Yaşında,70 m2,Bahçe Katı,650 TL,Eşyalı Değil,"
650 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,18806-1600,Batı,,,,,
415 TL,1,45 Yaşında,115 m2,1. Kat,"3,000 TL",Eşyalı Değil,"
1,600 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,,,,Kiralık,45411-673,,,,,,
"1,100 TL",2,11 Yaşında,251 m2,12. Kat,"6,200 TL",Eşyalı Değil,"
6,200 TL
",Merkezi,13 Katlı,Daire,Boş,5 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2888-12933,"Güney, ",312 ULUSOY CITY,,,,
100 TL,1,20 Yaşında,130 m2,3. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1264-4839,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
450 TL,1,25 Yaşında,180 m2,6. Kat,"3,000 TL",Eşyalı Değil,"
3,000 TL
",Merkezi,10 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1885,"Kuzey, ",ÖZKOÇ,,,,
300 TL,1,23 Yaşında,110 m2,8. Kat,1 TL,Eşyalı Değil,"
1,000 TL
",Merkezi,9 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,78056-258,"Kuzey, ",ETLİK EMLAK BANKASI ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
30 TL,1,35 Yaşında,120 m2,Kot 2,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,7 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,,,Kiralık,99750-382,"Güney, ",,,,,
150 TL,2,7 Yaşında,140 m2,5. Kat,"2,000 TL",Eşyalı Değil,"
1,850 TL
",Kombi,7 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,31332-1849,"Güney, ",Gökkuşağı,,,,
250 TL,2,Sıfır Bina,230 m2,4. Kat,"5,000 TL",Eşyalı Değil,"
2,450 TL
",Merkezi (Pay Ölçer),17 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,692656-343,"Kuzey, ",KAYIKENT SİTESİ,,,,
25 TL,2,25 Yaşında,140 m2,2. Kat,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1955-6229,"Güney, ",,,,,
350 TL,1,30 Yaşında,130 m2,4. Kat,"2,200 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4181-322,"Kuzey, ",,,,,
100 TL,2,9 Yaşında,130 m2,Yüksek Giriş,"3,000 TL",Eşyalı,"
3,250 TL
",Kombi,5 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,26985-2409,"Güney, ",,,,,
891 TL,1,22 Yaşında,190 m2,Giriş Katı,"4,000 TL",Eşyalı,"
4,000 TL
",Merkezi,18 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,62356-555,"Kuzey, ",YAMAÇEVLER,,,,
,1,38 Yaşında,80 m2,3. Kat,,Eşyalı Değil,"
825 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8767-2324,"Güney, ",,,,,
,2,15 Yaşında,300 m2,3. Kat,,Eşyalı Değil,"
2,200 TL
",Kombi,3 Katlı,Daire,Boş,5 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,35001-2983,"Güney, ",,,,,
,1,30 Yaşında,70 m2,Bahçe Katı,,Eşyalı,"
700 TL
",Belirtilmemiş,3 Katlı,Daire,Boş,2 + 1,Bugün,Elektrik,Betonarme,İkinci El,Kiralık,90199-1496,Batı,,,,,
30 TL,1,28 Yaşında,130 m2,3. Kat,"1,200 TL",Eşyalı Değil,"
1,250 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9842,"Güney, ",,,,,
163 TL,1,23 Yaşında,70 m2,Giriş Katı,800 TL,Eşyalı Değil,"
800 TL
",Kombi,6 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16744-18928,"Kuzey, ",Camlı Klima Blokları,,,,
60 TL,1,13 Yaşında,130 m2,Yüksek Giriş,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4583-14211,"Güney, ",,,,,
891 TL,1,22 Yaşında,190 m2,Giriş Katı,"4,000 TL",Eşyalı,"
4,000 TL
",Merkezi,18 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,62356-554,"Kuzey, ",YAMAÇEVLER SİTESİ,,,,
340 TL,1,40 Yaşında,95 m2,1. Kat,"3,500 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10115-1189,,,,,,
,4,12 Yaşında,540 m2,,,Eşyalı Değil,"
25,000 TL
",Kombi,3 Katlı,Villa,Boş,7 + 2,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,40002-298,"Kuzey, ",,,,,
762 TL,3,4 Yaşında,250 m2,Bahçe Katı,"20,000 TL",Eşyalı,"
11,000 TL
",Merkezi (Pay Ölçer),13 Katlı,Daire,Boş,5 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,96629-466,"Güney, ",SİNPAŞ ALTINORAN,,,,
500 TL,1,30 Yaşında,150 m2,3. Kat,"7,000 TL",Eşyalı,"
3,700 TL
",Merkezi,3 Katlı,Daire,Belirtilmemiş,4 + 1,Bugün,Doğalgaz,Kagir,İkinci El,Kiralık,96373-766,"Güney, ",,,,,
260 TL,2,1 Yaşında,81 m2,12. Kat,,Eşyalı Değil,"
2,050 TL
",Merkezi (Pay Ölçer),17 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,57012-5545,"Kuzey, ",relax yaşamkent,,,,
,1,Sıfır Bina,45 m2,En Üst Kat,"1,600 TL",Eşyalı,"
1,600 TL
",Merkezi,5 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,4077-2053,Güney,,,,,
,1,22 Yaşında,89 m2,Giriş Katı,"1,300 TL",Eşyalı Değil,"
1,300 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16744-18920,"Güney, ",ESTON BLOKLARI,,,,
200 TL,2,20 Yaşında,190 m2,2. Kat,"3,500 TL",Eşyalı Değil,"
3,500 TL
",Kombi,10 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6675-8070,"Kuzey, ",KELEBEK SİTESİ,,,,
240 TL,2,5 Yaşında,165 m2,3. Kat,"2,100 TL",Eşyalı Değil,"
2,100 TL
",Merkezi (Pay Ölçer),5 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,3581-3717,Güney,,,,,
50 TL,1,15 Yaşında,140 m2,Yüksek Giriş,"2,500 TL",Eşyalı,"
2,500 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4367-5160,"Güney, ",,,,,
100 TL,1,35 Yaşında,135 m2,3. Kat,"1,550 TL",Eşyalı Değil,"
1,550 TL
",Kombi,6 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,9595-2097,"Güney, ",,,,,
487 TL,1,18 Yaşında,119 m2,10. Kat,"1,450 TL",Eşyalı Değil,"
1,450 TL
",Merkezi,14 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16744-18863,"Kuzey, ",Aktürk Sitesi,,,,
50 TL,2,5 Yaşında,198 m2,3. Kat,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Kombi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2430-8889,"Güney, ",,,,,
25 TL,1,35 Yaşında,80 m2,Yüksek Giriş,"2,500 TL",Eşyalı,"
1,550 TL
",Kombi,2 Katlı,Daire,Boş,1 + 1,Dün,Doğalgaz,Kagir,İkinci El,Kiralık,2120-391,Batı,,,,,
,1,28 Yaşında,115 m2,1. Kat,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9843,,,,,,
150 TL,1,7 Yaşında,151 m2,Bahçe Katı,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Kombi,5 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,8316-1902,"Güney, ",,,,,
50 TL,1,25 Yaşında,130 m2,6. Kat,"1,350 TL",Eşyalı Değil,"
1,350 TL
",Kombi,10 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,64462-1212,"Kuzey, ",,,,,
30 TL,1,28 Yaşında,90 m2,Giriş Katı,,Eşyalı Değil,"
1,300 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4209-1828,"Kuzey, ",,,,,
725 TL,2,35 Yaşında,180 m2,1. Kat,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Merkezi,3 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,18054-3785,Güney,,,,,
240 TL,2,10 Yaşında,151 m2,4. Kat,"1,950 TL",Eşyalı Değil,"
1,950 TL
",Kombi,8 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4932-2635,"Güney, ",SARIKENT 1,,,,
40 TL,1,50 Yaşında,75 m2,Bahçe Katı,"1,500 TL",Eşyalı Değil,"
850 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,10115-1190,,,,,,
50 TL,2,9 Yaşında,135 m2,1. Kat,"3,500 TL",Eşyalı Değil,"
1,750 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,3581-3674,"Doğu, ",,,,,
762 TL,3,4 Yaşında,250 m2,Bahçe Katı,"20,000 TL",Eşyalı,"
11,000 TL
",Merkezi (Pay Ölçer),13 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,96629-453,"Güney, ",SİNPAŞ ALTINORAN,,,,
30 TL,1,31 Yaşında,100 m2,Giriş Katı,,Eşyalı,"
2,500 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,44819-1695,"Kuzey, ",,,,,
50 TL,1,20 Yaşında,125 m2,4. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,102959-600,"Kuzey, ",,,,,
,3,20 Yaşında,500 m2,,,Eşyalı Değil,"
25,000 TL
",Merkezi,4 Katlı,Villa,Boş,5 + 3,Dün,Doğalgaz,,,Kiralık,4835-7475,,,,,,
320 TL,1,2 Yaşında,90 m2,1. Kat,"3,600 TL",Eşyalı,"
1,850 TL
",Merkezi (Pay Ölçer),20 Katlı,Daire,Boş,1 + 1,Dün,Doğalgaz,Betonarme,Sıfır,Kiralık,3620-8620,Doğu,İNCEK TOKİ 2.ETAP,,,,
,5,23 Yaşında,650 m2,,"40,000 TL",Eşyalı Değil,"
40,000 TL
",Kat Kaloriferi,3 Katlı,Villa,Boş,6 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,62574-2498,"Kuzey, ",FUNDA BEYAZEVLER SİTESİ,,,,
40 TL,1,25 Yaşında,125 m2,Giriş Katı,"1,000 TL",Eşyalı Değil,"
1,050 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9803,"Güney, ",,,,,
400 TL,1,30 Yaşında,110 m2,3. Kat,"1,850 TL",Eşyalı Değil,"
1,850 TL
",Merkezi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,9595-2224,"Kuzey, ",,,,,
20 TL,1,20 Yaşında,95 m2,Yüksek Giriş,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,Betonarme,İkinci El,Kiralık,96259-368,Güney,,,,,
25 TL,1,25 Yaşında,110 m2,2. Kat,925 TL,Eşyalı Değil,"
925 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,18806-1599,Doğu,,,,,
300 TL,1,1 Yaşında,65 m2,7. Kat,"1,850 TL",Eşyalı Değil,"
1,850 TL
",Merkezi (Pay Ölçer),39 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,3620-8616,Batı,MARİNA ANKARA,,,,
100 TL,1,35 Yaşında,120 m2,2. Kat,"2,500 TL",Eşyalı,"
2,300 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5042-3045,Doğu,,,,,
35 TL,1,28 Yaşında,120 m2,1. Kat,"1,100 TL",Eşyalı Değil,"
1,100 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6464-9815,"Güney, ",,,,,
,1,10 Yaşında,135 m2,1. Kat,"5,500 TL",Eşyalı,"
2,800 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,99900-697,"Güney, ",,,,,
280 TL,1,12 Yaşında,100 m2,3. Kat,"10,000 TL",Eşyalı,"
6,200 TL
",Kombi,12 Katlı,Daire,,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4937-4987,Doğu,Evet (Site Adı Belir,,,,
140 TL,2,11 Yaşında,275 m2,6. Kat,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Kombi,6 Katlı,Daire,Boş,5 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8053-2407,"Kuzey, ",,,,,
200 TL,2,14 Yaşında,170 m2,6. Kat,"3,500 TL",Eşyalı Değil,"
3,500 TL
",Kombi,7 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,91324-3374,"Kuzey, ",,,,,
550 TL,3,15 Yaşında,280 m2,Villa Katı,"14,500 TL",Eşyalı Değil,"
14,500 TL
",Kombi,3 Katlı,Villa,Boş,4 + 2,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,4337-2115,Doğu,,,,,
625 TL,1,10 Yaşında,75 m2,Kot 1,"4,500 TL",Eşyalı,"
4,500 TL
",Merkezi,15 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,18054-3824,"Güney, ",MESA KOZA SİTESİ ,,,,
418 TL,1,18 Yaşında,119 m2,13. Kat,"1,450 TL",Eşyalı Değil,"
1,450 TL
",Merkezi,14 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16744-18802,"Güney, ",SUTEK SİTESİ,,,,
100 TL,2,20 Yaşında,200 m2,Giriş Katı,"2,100 TL",Eşyalı Değil,"
2,100 TL
",Kombi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,47587-939,,,,,,
"1,250 TL",4,2 Yaşında,550 m2,,"15,000 TL",Eşyalı Değil,"
14,000 TL
",Kombi,3 Katlı,Villa,Boş,7 + 2,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,26985-2419,"Kuzey, ",Evet (Site Adı Belirtilmemiş),,,,
20 TL,1,30 Yaşında,50 m2,,750 TL,Eşyalı,"
750 TL
",Kombi,3 Katlı,Müstakil Ev,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1442-9784,"Güney, ",ÖZCAN EMLAK,,,,
242 TL,1,28 Yaşında,95 m2,Yüksek Giriş,"2,350 TL",Eşyalı Değil,"
2,350 TL
",Merkezi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,9595-2244,"Güney, ",,,,,
50 TL,1,30 Yaşında,85 m2,1. Kat,"1,450 TL",Eşyalı Değil,"
1,450 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Kagir,İkinci El,Kiralık,88053-3733,Kuzey,,,,,
35 TL,1,35 Yaşında,100 m2,5. Kat,"2,000 TL",Eşyalı Değil,"
1,700 TL
",Kombi,5 Katlı,Daire,Boş,2 + 1,Dün,Doğalgaz,,,Kiralık,15279-478,"Kuzey, ",,,,,
40 TL,1,30 Yaşında,125 m2,3. Kat,"3,000 TL",Eşyalı,"
2,400 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,32665-925,"Güney, ",,,,,
690 TL,1,20 Yaşında,160 m2,4. Kat,"5,000 TL",Eşyalı Değil,"
2,750 TL
",Merkezi,6 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,8316-1945,"Kuzey, ",MESA ÇAMYOLU,,,,
360 TL,1,17 Yaşında,98 m2,1. Kat,"1,150 TL",Eşyalı Değil,"
1,150 TL
",Merkezi,14 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,21685-1978,"Kuzey, ",ILGAZLAR ,,,,
30 TL,1,10 Yaşında,100 m2,Bahçe Katı,900 TL,Eşyalı Değil,"
850 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,99900-643,Batı,,,,,
221 TL,1,22 Yaşında,49 m2,4. Kat,900 TL,Eşyalı Değil,"
900 TL
",Merkezi,6 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16744-18929,Kuzey,Haznedaroğlu Blokları,,,,
