Aidat,Banyo Sayısı,Bina Yaşı,Brüt / Net M2,Bulunduğu Kat,Depozito,Eşya Durumu,Fiyat,Isınma Tipi,Kat Sayısı,Konut Şekli,Kullanım Durumu,Oda + Salon Sayısı,Son Güncelleme Tarihi,Yakıt Tipi,Yapı Tipi,Yapının Durumu,İlan Durumu,İlan no,Cephe ,Site İçerisinde,Krediye Uygunluk,Takas,Tapu Durumu,Kira Getirisi
20 TL,1,30 Yaşında,90 m2,1. Kat,900 TL,Eşyalı Değil,"
900 TL
",Kombi,3 Katlı,Bina,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-1010,Güney,,,,,
15 TL,1,30 Yaşında,118 m2,,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Kombi,2 Katlı,Bina,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-855,"Güney, ",,,,,
,1,45 Yaşında,125 m2,2. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3685,Batı,,,,,
195 TL,1,7 Yaşında,116 m2,Yüksek Giriş,"1,100 TL",Eşyalı,"
1,000 TL
",Merkezi (Pay Ölçer),14 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,23862-12330,"Güney, ",3.Etap,,,,
190 TL,1,2 Yaşında,90 m2,11. Kat,"1,950 TL",Eşyalı Değil,"
1,950 TL
",Merkezi (Pay Ölçer),17 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,6792-3440,,HİTTOWN,,,,
50 TL,1,10 Yaşında,105 m2,Yüksek Giriş,"2,700 TL",Eşyalı Değil,"
1,350 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,,Kiralık,3581-3718,Doğu,,,,,
50 TL,1,30 Yaşında,115 m2,Yüksek Giriş,850 TL,Eşyalı Değil,"
850 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,68764-937,Batı,,,,,
,1,22 Yaşında,110 m2,1. Kat,"1,500 TL",Eşyalı Değil,"
1,600 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,17197-1897,"Güney, ",,,,,
350 TL,2,11 Yaşında,182 m2,21 ve üzeri,"10,000 TL",Eşyalı Değil,"
5,000 TL
",Merkezi,25 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,3920-8583,"Kuzey, ",Hayatsebla Evleri,,,,
,1,7 Yaşında,110 m2,3. Kat,,Eşyalı Değil,"
825 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,67759-3178,,,,,,
375 TL,1,19 Yaşında,92 m2,12. Kat,"1,250 TL",Eşyalı Değil,"
1,250 TL
",Merkezi,14 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,17314-1332,"Kuzey, ",SUTEK SİTESİ,,,,
,2,11 Yaşında,140 m2,4. Kat,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1300-5411,"Kuzey, ",,,,,
,1,22 Yaşında,135 m2,Yüksek Giriş,900 TL,Eşyalı Değil,"
900 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22699,Batı,,,,,
,1,45 Yaşında,130 m2,2. Kat,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1190-3608,Batı,,,,,
40 TL,1,18 Yaşında,100 m2,Yüksek Giriş,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,112435-1572,"Güney, ",,,,,
50 TL,2,15 Yaşında,160 m2,2. Kat,"3,500 TL",Eşyalı Değil,"
1,750 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,19464-3039,Batı,,,,,
,1,18 Yaşında,160 m2,2. Kat,"1,550 TL",Eşyalı Değil,"
1,550 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22694,Batı,,,,,
,1,2 Yaşında,85 m2,Yüksek Giriş,"2,500 TL",Eşyalı Değil,"
2,500 TL
",Kombi,4 Katlı,Daire,Kiracı Oturuyor,3 + 1,Bugün,,Betonarme,,Kiralık,5934-2965,"Güney, ",,,,,
,1,12 Yaşında,170 m2,3. Kat,165 TL,Eşyalı Değil,"
1,650 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22690,Doğu,,,,,
290 TL,1,3 Yaşında,84 m2,9. Kat,"6,200 TL",Eşyalı,"
3,100 TL
",Merkezi (Pay Ölçer),14 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,47297-1884,,safran residence,,,,
10 TL,1,20 Yaşında,120 m2,2. Kat,850 TL,Eşyalı Değil,"
850 TL
",Kombi,2 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,16087-2589,Doğu,,,,,
,1,20 Yaşında,130 m2,1. Kat,"1,000 TL",Eşyalı Değil,"
 1,000 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22691,"Güney, ",,,,,
,2,Sıfır Bina,110 m2,21 ve üzeri,,Eşyalı Değil,"
3,200 TL
",Merkezi (Pay Ölçer),25 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,3918-3872,"Kuzey, ",Duru Beytepe,Uygun,Hayır,Kat İrtifakı,"3,200 TL"
,1,20 Yaşında,130 m2,2. Kat,950 TL,Eşyalı Değil,"
950 TL
",Kombi,3 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,5438-22693,Güney,,,,,
40 TL,1,25 Yaşında,110 m2,Yüksek Giriş,"1,350 TL",Eşyalı Değil,"
1,350 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,,,Kiralık,70164-655,"Güney, ",,,,,
450 TL,1,30 Yaşında,115 m2,4. Kat,"2,200 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,15 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,15927-706,Güney,Şenyuva ( Tusso ) Bl,,,,
410 TL,1,35 Yaşında,100 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
2,000 TL
",Merkezi,4 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,2418-1996,"Güney, ",,,,,
,2,3 Yaşında,190 m2,21 ve üzeri,"20,500 TL",Eşyalı,"
20,500 TL
",Merkezi (Pay Ölçer),32 Katlı,Residence,,4 + 1,Bugün,,,,Kiralık,83743-306,,Kuzu Kumru Residence,,,,
